ZPID,Street,Unit,City,State,Zipcode,Type,Price,HOA Fee,Zestimate,Rent Zestimate,Days On Zillow,Bedrooms,Bathrooms,Living Area,Year Built,lotSize
79845079,776 Tehama St UNIT 9,9,San Francisco,CA,94103,MULTI_FAMILY,415827,533,428709,2400,30,1,1,418,2006,
15178854,32 Acton St,,San Francisco,CA,94112,SINGLE_FAMILY,1420000,,1425890,3600,0,5,3,1820,1948,1751
121338897,608 Peralta Ave,,San Francisco,CA,94110,CONDO,900000,200,824848,2995,0,2,1,873,1959,1750
15167835,23 Madrid St,,San Francisco,CA,94112,SINGLE_FAMILY,825000,0,1194595,3755,0,5,4,2300,1915,2495
89238368,1921 Palou Ave,,San Francisco,CA,94124,SINGLE_FAMILY,1365000,,1355310,3850,1,5,3,2658,2007,2500
15153686,1352 Quesada Ave,,San Francisco,CA,94124,SINGLE_FAMILY,604000,,945975,3800,11,3,2,1268,1900,2500
15192920,67 Montana St,,San Francisco,CA,94112,SINGLE_FAMILY,715000,0,703294,3371,1,3,2,1201,1949,3123
249665283,1000 3rd St UNIT 508,508,San Francisco,CA,94158,CONDO,931000,832,,3200,1,1,1,830,2018,
15146572,1050 Church St,,San Francisco,CA,94114,SINGLE_FAMILY,2100000,677,2398548,4590,7,5,2,1950,1950,4112
249698617,401 Harrison St APT 38A,38A,San Francisco,CA,94105,CONDO,1206000,1247,1238336,3599,2,1,,840,2014,56023
80741346,821 Folsom St APT 115,115,San Francisco,CA,94107,CONDO,701000,525,,2500,99,0,,739,2004,
122064136,2932 Washington St,,San Francisco,CA,94115,CONDO,2145000,310,2134862,5995,3,3,2,1931,1910,
15111757,1818 8th Ave,,San Francisco,CA,94122,SINGLE_FAMILY,1600000,,3047544,4200,2,4,5,3169,1928,1420
2075615167,2333 Kirkham St #2335,2335,San Francisco,CA,94122,MULTI_FAMILY,1228888,,,,2,1,,1850,1939,1341
